date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:03	23626/23626	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2003:45:02%20GMT	https://geraldtsang.wordpress.com/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/index.html	(from )
14:45:03	366/366	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Feb%202017%2003:45:02%20GMT	https://geraldtsang.wordpress.com/robots.txt		(from )
14:45:03	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2012%20Feb%202017%2003:45:02%20GMT	https://geraldtsang.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/xmlrpc.php	(from https://geraldtsang.wordpress.com/)
14:45:04	880/880	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2003:45:02%20GMT	https://geraldtsang.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/xmlrpc0db0.php	(from https://geraldtsang.wordpress.com/)
14:45:04	1608/1608	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Feb%202017%2003:45:03%20GMT	https://geraldtsang.wordpress.com/feed/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/feed/index.html	(from https://geraldtsang.wordpress.com/)
14:45:04	897/897	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	https://geraldtsang.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/comments/feed/index.html	(from https://geraldtsang.wordpress.com/)
14:45:04	1489/1489	---MCZ	200	added ('OK')	application/xml	date:Sun,%2012%20Feb%202017%2003:45:03%20GMT	https://geraldtsang.wordpress.com/osd.xml	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/osd.xml	(from https://geraldtsang.wordpress.com/)
14:45:05	755/755	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202017%2003:40:56%20GMT	https://geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt1.png?w=32	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt176ca.png	(from https://geraldtsang.wordpress.com/)
14:45:05	7276/7276	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202017%2003:40:56%20GMT	https://geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt1.png?w=192	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt19939.png	(from https://geraldtsang.wordpress.com/)
14:45:05	6574/6574	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202017%2003:40:56%20GMT	https://geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt1.png?w=180	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/cropped-logomakr_1f8cnt1ad83.png	(from https://geraldtsang.wordpress.com/)
14:45:06	451768/451768	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Feb%202017%2003:35:01%20GMT	https://geraldtsang.files.wordpress.com/2017/02/its-a-vivid-lightfall.jpg?w=1500	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/its-a-vivid-lightfall40e5.jpg	(from https://geraldtsang.wordpress.com/)
14:45:06	20963/20963	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2003:45:05%20GMT	https://geraldtsang.wordpress.com/about/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/about/index.html	(from https://geraldtsang.wordpress.com/)
14:45:06	22246/22246	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2003:45:05%20GMT	https://geraldtsang.wordpress.com/contact/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/contact/index.html	(from https://geraldtsang.wordpress.com/)
14:45:06	124029/124029	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Feb%202017%2003:33:42%20GMT	https://geraldtsang.files.wordpress.com/2017/02/stairs-lights-abstract-bubbles1.jpg?w=1500	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/stairs-lights-abstract-bubbles140e5.jpg	(from https://geraldtsang.wordpress.com/)
14:45:06	22719/22719	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2003:45:05%20GMT	https://geraldtsang.wordpress.com/blog/	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.wordpress.com/blog/index.html	(from https://geraldtsang.wordpress.com/)
14:45:08	20650/20650	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255faca7a-50aa%22	http://0.gravatar.com/js/gprofiles.js?ver=201706y	C:/My%20Web%20Sites/Geraldtsang/0.gravatar.com/js/gprofilesd732.js	(from https://geraldtsang.wordpress.com/)
14:45:08	147732/147732	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Feb%202017%2003:33:43%20GMT	https://geraldtsang.files.wordpress.com/2017/02/person-smartphone-office-table.jpeg?w=1500	C:/My%20Web%20Sites/Geraldtsang/geraldtsang.files.wordpress.com/2017/02/person-smartphone-office-table40e5.jpg	(from https://geraldtsang.wordpress.com/)
14:45:08	582/582	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Feb%202017%2003:45:07%20GMT	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/My%20Web%20Sites/Geraldtsang/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://geraldtsang.wordpress.com/)
